DISPOSITIVO (BDI);IP Gestion;IP-ETH0 (BDI);IP-ETH1;ENCARGO;SERVICIO GNIV;PROYECTO_SERVICIO_CS;CPU;RAM (GB);DISK (GB);TAMAÑO U;ESPACIO ALM/BCK (GB);ENTORNO;ESTADO;APAGADO/BAJA;HORARIO;TIPO DISPOSITIVO;TIPO EQUIPO;DETALLE SERVICIO;CONTACTOS;ADMINISTRACIÓN;FECHA ALTA;FECHA BAJA;COMENTARIOS;SISTEMA OPERATIVO;TIPO ALOJAMIENTO
SADALF01;;10.240.216.72;192.168.7.233;SDT_NI;CATS-ALFR-001    ;P0005;1;1;120.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Alfresco;Fede Lebrero/JIRelinque;;;2021-07-01;Solicitado apagado en SRQ-911387 y ejecutado el 01/07/2021 .  El 7/10/21 se solicita su Baja previo backup por 1 año y que se pregunte transcurrido dicho tiempo en SRQ-994295 -  RAD-1000122. Se ejecuta la baja el 4/11 .  El 18 /11 tiene lugar la eliminación de la BDD BD-catsql0102-bddMy50_Comun-[alfresco3_2, se genera dump para respaldo antes de eliminar la base de datos y Se realiza el borrado definitivo de la base de datos,Se lanza una política de backup, almacenando la copia por 1 año.;Red Hat Enterprise As 5 Up 5;HOSTING VIRTUAL
SADNAV01;10.240.201.158;10.240.193.50;192.168.9.50;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;2;10;;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor Base de Datos;Navision;JMGMañero;;;2021-05-12;Solicitada baja de servicio SRQ-846635 SADNAV01 PRODUCCION;Windows 2003 Server Enterprise R2 Sp2 64;HOSTING FISICO
SADNAV02;;10.240.216.104;;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;4;16;130.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;NAVISION;JMGMañero;100% ADON;;;"Servicio Navision
28/05/2025 -- Acualizado a W2022";Windows 2022;HOSTING VIRTUAL
SANBDTI01;10.240.254.53;10.240.254.53;;SDT_TI;INTE-IAAS-022;P0005-TI;4;8;120.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Base de Datos;MariaDB / Base de datos de Cloud, Inventario, Estadísticas (Matomo) y Directorio (Wordpress).;Mario Galán / Alejandro González;ADM;2022-09-27;;"Máquina para centralizar bases de datos de aplicaciones AreaTI Interna. 
29/12/2022: En funcionamiento con las bases de datos de: Cloud, Inventario, Estadísticas (Matomo) y Directorio (Wordpress).";;HOUSING VIRTUAL
SANBOD01;;10.240.217.237;;SDT_PERS;INTE-HOST-001 ;P0000;4;6;100.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Bodet;Fede Lebrero;Explotación (Flebrero) - ADM;;;;Windows Server 2016 Standard;HOSTING VIRTUAL
SANCRM01;10.240.217.12;10.240.217.12;;SDT_DCORP;INTE-IAAS-014;P0005-CONS;2;8;80.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Proyecto CRM de Sandetel;Jose Antonio del Rio;;;2022-06-14;BAJA Proyecto CRM de Sandetel. Solicitado 28/04 la eliminación con backup quinquenal en SRQ- 1125063 / RAD-1134628 . 14/06/2022. Ejecutada la baja de la RAD-1134628 solicitada en SRQ -1125063;Suse Linux Enterprise Server 12 Sp3;HOUSING VIRTUAL
SANDCO01;10.240.216.81;10.240.216.81;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;2;4;74.000 ;;;PRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Controladores de Dominio;Dcucala;50% EXPLOTACIÓN - 50% N2 -> ADM;;;SANDCO01- controlador de dominio windows SANDETEL, ubicado en el pabellón de Francia. ;Microsoft Windows Server 2012 (64-Bit);HOSTING VIRTUAL
SANDCO02;10.240.216.75;10.240.216.75;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;2;4;32.000 ;;;PRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Controladores de Dominio;Dcucala;50% EXPLOTACIÓN - 50% N2 -> ADM;;;SANDCO02 no aparece en discoste, se ha solicitado su migración  a CPD ZOCO en SRQ-921601;Microsoft Windows Server 2012 (64-Bit);HOSTING VIRTUAL
SANDCO03;10.240.216.81;10.240.216.154 ;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;4;8;180.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Controladores de Dominio;Dcucala;50% EXPLOTACIÓN - 50% N2 -> ADM;;;SANDCO03- controlador de dominio windows SANDETEL, ubicado en el pabellón de Francia. ;Microsoft Windows Server 2022 (64-Bit);HOSTING VIRTUAL
SANDCO04;10.240.216.81;10.240.216.180;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;4;8;180.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Controladores de Dominio;Dcucala;50% EXPLOTACIÓN - 50% N2 -> ADM;;;SANDCO04- controlador de dominio windows SANDETEL, ubicado en el pabellón de Francia. ;Microsoft Windows Server 2022 (64-Bit);HOSTING VIRTUAL
SANDIN01;;10.240.216.87;;SDT_COMPLIANCE;INTE-SAND-007;P0005-COMPL;1;4;24.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Compliance-Canal Denuncias;Alfonso Moreno/A.Cala;100% SSII - AMORENO;;;;Oel 7.4;HOSTING VIRTUAL
SANDOCK01;10.240.216.78;;;SDT_SEG;INTE-IAAS-019;P0005-SEG;2;16;500.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS; Vmx para montar Docker de uso interno (Vaultwar migrandolo de Sanofi01;Mario Galán/David Cucala;ADM;2022-02-02;;"Vmx para montar Docker de uso interno (Vaultwarden) 28/01/22 Se crea la RAD-1065788 para acometer la tarea.
09/2023 --> Ampliacióbn HDD a 500Gb
09/2023 --> Se usa esta máquina para backups de apps del AreaTI, backup de BD, NC, Data y  docker.";Red Hat Enterprise 8.4;HOUSING VIRTUAL
SANEXTCL01;10.240.217.217;10.240.217.217;;SDT_PDT;PDT-FILE-001;P0005-ALM;4;16;120.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Docker: Wekan -app y MongoDB- onlyoffice,  vaultwarden y  NOCODB / Piloto De Odo / ;MArio Galán / Alejandro González;ADM;;;"SRQ- 954012 Creación. SRQ- 954012 cambio SO  a RH8.3 19/11 Ante la petición de requerir UBUNTU, Fede indica que se detenga el instalar ODO. Se utiliza esta VM para instalar docker. 27/01/22 para migrar de Sanofi01 Docker de uso externo (Wekan-app /DB y Onlyoffice). 11/04 se reactiva el piloto ODO. Piloco NOCODB en Docker. 
Enero 2023 Se actualiza SO a RH 8.7 (original 8.4). ";Red Hat Enterprise Linux 8.7;HOUSING VIRTUAL
SANFAC01;;10.240.217.139;192.168.7.126;SDT_DCORP;INTE-SAND-008 ;P0005-CONS;2;2;32.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Factoría De Ideas;J.A.RIO;;;2021-06-02;Solicitada baja del servicio SRQ-861081 y solicitada Copia de seguridad en produccion con retención quinquenal  en RAD-887258. No se ha dado de Baja, aparece apagada. l backup se respalda a cinta por 5 años como máximo, Es responsabilidad del propio cliente tener en cuenta los plazos. No se dispone de ningún flujo de información para notificar al cliente cuando la copia está a punto de caduca. Se solicita la baja SRQ-1023569 y se ejecuta el 19/11/21;Red Hat Enterprise Linux 6 Up 4;HOSTING VIRTUAL
SANGAT01;;10.240.217.96;;SDT_PDT;INTE-IAAS-005;P0005-PDT;2;4;20.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Gestión Del Acceso A La Infraestructura Tic De Empresas  . GATE;;ADM - JMartin;;2022-08-16;Gestión Del Acceso A La Infraestructura Tic De Empresas  . GATE. 30/06/22 Fede autoriza la baja del servidor del antiguo GATE . 12/08 Solicitada la baja en 1192532,  16/08 Fede indica que se mantenga apagada al ser LINUX, sirve como VM de Reten, se rectifica la petición del tique 1192532. 06/09 Se solicita la baja en Solicitada su baja en  SRQ-1202910. Se efectua la baja del servicio en RAD-1204137 el 15/09/2022;Oel 7.4;HOUSING VIRTUAL
SANGEM01;;10.240.216.22;;SDT_TI;INTE-SAND-002   ;P0005-TI;2;2;20.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor Base de Datos;Gema (Sistema De Agenda);Mbracho/F.Lebrero;Explotación (Flebrero) - ADM;;2026-03-31;Marzo 2026 -- Tramitada baja de MV y servicio. ;Oracle Linux 4/5 Or Later (64-Bit);HOSTING VIRTUAL
SANGPT01;;10.240.216.38;192.168.6.66;SDT_PDT;INTE-IAAS-007 ;P0005-PDT;2;4;20.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Documicro Y Gestionip;Jesus Perez;GUSTAVO-JESUS PEREZ;;2022-11-10;Solicitada la baja en SRQ-1241018 /RAD-1242700 . Se realiza la baja el 10/11/2022 a las 11h;Oracle Linux 7U2;HOUSING VIRTUAL
SANGRE01;10.240.217.157;10.240.217.157;;SDT_TI;INTE-SAND-013 ;P0005-TI;2;4;30.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Gregistro;Alfonso Moreno;100% SSII - AMORENO;;;;Red Hat Enterprise Linux 7.0;HOSTING VIRTUAL
SANHVA01;;10.240.217.245;;SDT_TI;INTE-SAND-012 ;P0005-TI;2;4;40.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal Web Zonadigital;Alfonso Moreno;100% SSII - AMORENO;;;;Red Hat Enterprise Linux 7.5;HOSTING VIRTUAL
SANINV01;10.240.217.202;10.240.217.202;;SDT_PDT;INTE-IAAS-013  ;P0005-PDT;2;4;24.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Inventario Glpi + Fusioninventory De Puesto De Trabajo Sandetel  ;;;;2021-11-25;Contenía el Inventario Glpi + Fusioninventory De Puesto De Trabajo Sandetel  + Netdata. Solicitado en el tique SRQ-1020122 el apagado por tres meses y posterior baja de la VM SANINV01, sin backup previo al disponerse de la copia realizada por Mario Galán y salvaguardada por Gustavo en  \\archivo.intcdm.sandetel.int\7.TELE_CDG\5.TEL_PLP\3.GES_PT\Operaciones\Organismos\SAND\Salvaguardas\Aplicación\Servidor\GLPI\v0.95\20211031000. Se tramita la RAD-1022203. Se realiza el apagado de la máquina por tres meses el 25/11/21.  La baja de la VM y el servicio se realiza en la RAD-1022203 el 24/02/2022;Oel 7.4;HOUSING VIRTUAL
SANIVA01;10.240.216.57;10.240.216.57;;SDT_SEG;INTE-IAAS-018;P0005-SEG;4;16;250.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Agente EPP de Checkpoint.+ManageEngine Desktop Central + piloto de robotiz + Report Manager;Mario Galán / Alejandro Glez;ADM - Mario/N2 ;;;"Agente EPP de Checkpoint.15/03/22 JM: Actualmente se le está dando uso un piloto de robotización de procesos GINC e ING RCJA., tiene instalado Sophos y Epp Checkpoint aunque sin correr. Se ha instalado la aplicación Report Manager (Quest). Se ha desinstalado el servicio IVANTI
2023/02/15 -- Contine carpeta 7.TELE_CDG (CRÍTICA - No tocar)";Windows 2019;HOUSING VIRTUAL
SANKAS01;;10.240.217.100;;SDT_PDT;INTE-IAAS-004 ;P0005-PDT;4;8;100.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Antivirus Kaspersky Micro ;;;;2021-12-16;22/11 se solicita la baja de la VM y el servicio en SRQ-1025384 Se ejecuta la baja en RAD-1033055,  previamente se realiza Backup con retención de 1 año.;Microsoft Windows Server 2008 R2;HOUSING VIRTUAL
SANKUB01;10.240.217.17;10.240.217.17;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;SANKUB01-02-03 --> Nodos de control en alta disponibilidad de cluster k0s;Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANKUB02;10.240.217.20;10.240.217.20;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;SANKUB01-02-03 --> Nodos de control en alta disponibilidad de cluster k0s;Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANKUB03;10.240.217.51;10.240.217.51;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;SANKUB01-02-03 --> Nodos de control en alta disponibilidad de cluster k0s;Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANKUB04;10.240.217.60;10.240.217.60;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;5000.000 ;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;"SANKUB04-05-06 --> Nodos de almacenamiento del cluster k0s
La MV tiene un disco adicional de 5Tb
";Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANKUB05;10.240.217.85;10.240.217.85;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;5000.000 ;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;"SANKUB04-05-06 --> Nodos de almacenamiento del cluster k0s
La MV tiene un disco adicional de 5Tb
";Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANKUB06;10.240.217.97;10.240.217.97;;SDT_TI;INTE-IAAS-019;;8;16;128.000 ;;5000.000 ;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cluster Kubernetes Subdireccion TI;Mario Galán / Alejandro González;ADM;2025-09-01;;"SANKUB04-05-06 --> Nodos de almacenamiento del cluster k0s
La MV tiene un disco adicional de 5Tb
";Red Hat Enterprise Linux 9.6;HOUSING VIRTUAL
SANLIC01;;10.240.217.180;192.168.6.58;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;4;16.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;;;Oracle Linux 7 (64-Bit);HOSTING VIRTUAL
SANLIC02;;10.240.217.181;192.168.6.133;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;2;16.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;;;Oracle Linux 7 (64-Bit);HOSTING VIRTUAL
SANLIC03;;10.240.217.182;192.168.6.145;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;2;16.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;;;Oracle Linux 7 (64-Bit);HOSTING VIRTUAL
SANNOM01;10.240.217.66;10.240.217.66;;SDT_ADON;INTE-NOM-001;P0000;1;2;40.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;NOMINAS Y MATERIAL DE OFICINA;ALFONSO MORENO y ALFONSO DE CALA;100% EXPLOTACION/SSII - AMORENO -> AD;2022-09-06;; RAD-1141841/ RAD-1198163.  ;DEBIAN 10 AMD64;HOSTING VIRTUAL
SANNOT01;10.240.216.86;10.240.216.86;10.240.214.168;SDT_JUR;INTE-SAND-010 ;P0005-JUR;2;2;24.000 ;;;PRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Notificaciones Electrónicas Sandetel;Alfonso Moreno;100% SSII - AMORENO;;2022-04-04;Se solicita apagado temporal SRQ-861581, se pregunta por backup de máquinas en OFF. Se apagan el 12-05 hasta 31 dic del 2021. Se solicita encendido de sannot01 SR-887800 desde 26-05.   Se realiza el apagado en la RFC -871732 EL 4/4/22. El 07/06 se comprueba que está encendida y se solicita de nuevo el apagado en 1148670;Oel 7.4;HOSTING VIRTUAL
SANNPP01;10.240.216.177;;;SDT_PDT;INTE-IAAS-020 ;P0005-PDT;4;8;120.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Puesto De Trabajo Servidor Impresión Ndd;;ADM - N2/GPT;;;Actualizado a W2019;Windows Server 2019 Standard;HOUSING VIRTUAL
SANOFI01;10.240.216.110;10.240.216.110;192.168. [7.74 ][96.1][112.1] / 172.[19][18]. 0.1 ;SDT_SEG;INTE-IAAS-019;P0005-SEG;4;16;210.000 ;;;PRODUCCION;FUERA DE SERVICIO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Contiene: Directorio+Documicro ;Mario Galan / Alejandro Glez;ADM;;2025-09-30;"Ofimática interna:  Nextcloud + Nextcloud-DB+Gesttdoc+Autoservicio+Directorio +Documicro+ Matomo
08/11 Actualizado el tamaño del disco. Originalmente tenía 200 GB. El 20/5 figura en BDI el cambio de tamaño, se desconoce quien lo solicita. 
24/01/2023 - Se amplia VM con unidad 100 Gb para Cloud proyecto REJA
22/03/2013 - Se amplia VM con unidad 100 Gb para Cloud proyecto Wifi
10/05/2023 - Se amplia VM con unidad 100 Gb para Cloud proyecto Ordenciti
05/06/2023 - Se migra Ordenciti a SANPHPO01 
09/2023 --> Migradas a SANPHP CLOUD; REJA y WIFI; 
09/2023 --> Baja de volúmenes adicionales.
09/2025 --> Baja de MV tras eliminar GLPI - Inventario";Suse Linux Enterprise Server 15;HOUSING VIRTUAL
SANPHP01;10.240.216.179;;SDT_SEG;SDT_SEG;INTE-IAAS-019;P0005-SEG;4;16;120.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;VM para montar PHP-NGINX: Nextclpud: Ordenciti.;Mario Galan/Alejandro González;ADM;2022-02-02;;"28/01/22  solicitada en SRQ-1065113  y se UNIFICA en la RAD-RAD-1065788  para abordar la tarea..
VM para montar PHP-Interno (GLPI) migrado de SANOFI01
01/05/2023 --> Instalación PHP 8.2.6
15/05/2023 - Se decide que esta máquina va a sustituir a SANOFI01
05/06/2023 - Se migra instancia NC Ordenciti de Sanofi aquí. ordenciti.sandetel.int ";Red Hat Enterprise 8.7;HOUSING VIRTUAL
SANPKI01;;10.240.217.75;;SDT_PDT;INTE-IAAS-006;P0005-PDT;2;4;20.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Certificaciones  Pki;Fede Lebrero;;;2021-07-15;Baja del servicio. RAD-923983.  Se solicita copia de seguridad con retención quinquenal.;Centos 6.9;HOUSING VIRTUAL
SANSEG02;10.240.217.76;10.240.217.76;;SDT_SEG;INTE-IAAS-016 ;P0005-SEG;4;32;600.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS; Admanager → Autoservicio De Credenciales  Y Quest;David Cucala;ADM;;;"SANSEG02 → ADMANAGER → Autoservicio de Credenciales  y Quest

Actualizado a W2019";Windows 2019;HOUSING VIRTUAL
SANSEG03;10.240.217.208;10.240.217.208;;SDT_SEG;INTE-IAAS-016 ;RCJA_OTROS - Varios RCJA;2;4;40.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Base De Datos Altos Cargos 24X7 Rcja;Javier Martin;ADM - Jmartin;;;cmdbuild que utilizan para la BBDD de Altos Cargos.;Suse Linux Enterprise Server 12 Sp3;HOUSING VIRTUAL
SANSEG04;10.240.217.216;10.240.217.216;;SDT_SEG;INTE-IAAS-016 ;P0005-SEG;2;4;40.000 ;;;PRODUCCION;OPERATIVO;;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Cmdbuild-Tic Interna. 20/06/22 gate https://gate.sandetel.int/cmdbuild/ui/;Javier Martin;ADM - Jmartin;;;"cmdbuild para llevar el control de Instancias BBDD y Servicios TI
migración cmdbuild  20/06/22 gate https://gate.sandetel.int/cmdbuild/ui/";Suse Linux Enterprise Server 12 Sp3;HOUSING VIRTUAL
SANTAQ01;10.240.217.175;10.240.217.175;;SDT_TI;INTE-IAAS-025	 ;P0005-TI;1;8;100.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Metra + Firebird;Mario Galán / Alejandro González;ADM;;;"Máquina para instalación de software MeTRA de Apertura de Taqauillas

MyMetraKey

SQL 
SANTAQ01\SQLEXPRESS
mixed mode password: Metra123!

DB name: MetraMMK
login name: metra
p/w: Metra123!

MMK login
admin@metra.si
metra";Windows 2022;HOUSING VIRTUAL
SANTI01;10.240.217.235;10.240.217.235;;SDT_TI;INTE-IAAS-023		 ;P0005-TI;8;32;100.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas Windows  Quest 01;Mario Galán / Alejandro González;ADM;2023-01-25;;Máquina instalación QUEST - Área TI Interna;;HOUSING VIRTUAL
SANTI02;10.240.217.236;10.240.217.236;;SDT_TI;INTE-IAAS-023	 ;P0005-TI;8;32;100.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas Windows  Quest 02;Mario Galán / Alejandro González;ADM;2023-01-25;;Máquina instalación QUEST2 - Área TI Interna;;HOUSING VIRTUAL
SANVDI01;10.240.216.54;10.240.216.54;;SDT_ADON;INTE-VESC-001 ;P0000;2;6;145.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal; Virtualización De Escritorio (Navision Y Nóminas);Sbielza;50% EXPLOTACIÓN - 50% N2 -> ADM;;;;Windows 2012 Standard R2;HOSTING VIRTUAL
SANVDI02;10.240.216.244;10.240.216.244;;SDT_ADON;INTE-VESC-001 ;P0000;2;6;200.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal; Virtualización De Escritorio (Navision O Nóminas, PDTE DE INDICAR QUE SERVICIO SE QUEDA;Federico Calderón;50% EXPLOTACIÓN - 50% N2 -> ADM;2022-09-14;;VM solicitada por correo a Juan MI para migrar el cliente Navision de SANVDI01 a nueva VM con S.O Windows 2019.;Windows 2019;HOSTING VIRTUAL
SANWAZ01;10.240.254.26;;;SDT_TI;IDS-PROD-001;P0005-TI;4;8;120.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Monitorización Seguridad de Servidores Sandetel;Mario Galán;ADM;2021-11-30;;VM solicitada en 1022398 para monitorizar la seguridad de los servidores de sandetel. Se instala honeypot temporalmente el 14/12 ;Red Hat Enterprise Linux 8.4;HOUSING VIRTUAL
SANWOR01;;;;SDT_ADON;INTE-IAAS-001    ;P0000;2;4;20.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Iaas Workflow De Compras De Sandetel ;Alfonso Moreno/JMG Mañero;;;2021-06-09;Solicitada baja del servicio SRQ-861534. Se consulta por ocpiones de backup. Se pide copia de seguridad en produccion con retención quinquenal. RAD-893703 baja 09/06/2021 a las 9h;Centos 6;HOUSING VIRTUAL
SANWSU02;;10.240.216.27;192.168.6.160;SDT_PDT;INTE-IAAS-011;P0005-PDT;4;8;1075.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Wsus Oficina Sandetel ;David Cucala/Juan Ignacio Relinque;ADM - N2;;2026-03-30;"SANWSU01 depende de explotación, no es nuestra. Se solicita en 1150896  ampliación de 25 G del disco 1. Se amplia el disco 1 a 75 Gb en la RFC 1150988

MArzo 2026 -- Tramitada baja de MV"; Windows Server 2016 Standard;HOUSING VIRTUAL
SWLAN10-PILA HP-OFIMATICA;;;;OFIMÁTICA;Sin especificar ;P0005;;;;2.00000 ;;DESARROLLO;INGENIERIA;;;SWITCH;;Pila Hp De Direccion De Obra Que Lleva Entorno De Ofimática ;S.Bielza/A.Viana;;;;"Comentario de AVIANA: ""Y el SWLAN10 se trata de los switchs que dan servicio de Ofimático en Zoco y de los que estamos hablando en estos últimos días en relación al FW de Ofimática"" -> A Eliminar cuando migren los FWs";;
